Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2018-1-11,Barra Funda,-23.5542,-46.6707,147393,74,11,3,15,5,7,43,4,NORMAL
2019-2-13,Brooklin,-23.6263,-46.6878,30032,69,10,22,40,24,5,43,11,REABASTECER
2018-3-21,Barra Funda,-23.5542,-46.6707,147885,68,60,37,21,9,28,8,15,NORMAL
2019-6-14,Brás,-23.5451,-46.6162,72085,20,52,52,36,32,42,20,21,NORMAL
2018-4-25,Barra Funda,-23.5542,-46.6707,150503,79,49,65,6,13,13,43,7,REABASTECER
2018-1-13,Barra Funda,-23.5542,-46.6707,150332,52,65,59,10,37,43,37,39,NORMAL
2019-10-24,Brooklin,-23.6263,-46.6878,26474,14,31,26,11,28,9,7,11,NORMAL
2018-2-19,Barra Funda,-23.5542,-46.6707,147392,35,40,6,34,11,43,10,24,REABASTECER
2018-4-3,Campo Belo,-23.6188,-46.6823,26769,43,39,29,32,31,43,2,28,NORMAL
2018-7-20,Barra Funda,-23.5542,-46.6707,147798,15,57,47,30,11,9,22,15,NORMAL
2018-4-29,Campo Belo,-23.6188,-46.6823,24880,40,6,31,21,19,17,31,16,REABASTECER
2019-5-5,Barra Funda,-23.5542,-46.6707,148177,17,39,3,25,14,22,22,10,REABASTECER
2018-5-12,Campo Belo,-23.6188,-46.6823,25996,86,51,65,31,7,10,20,2,NORMAL
2018-11-3,Campo Belo,-23.6188,-46.6823,26224,56,32,55,31,18,1,22,43,REABASTECER
2018-11-14,Campo Belo,-23.6188,-46.6823,24537,32,37,54,36,12,18,18,3,REABASTECER
2019-10-26,Barra Funda,-23.5542,-46.6707,147797,20,60,15,36,43,6,27,9,REABASTECER
2018-2-23,Tatuapé,-23.5402,-46.5765,67258,86,3,18,36,41,5,39,8,NORMAL
2018-7-20,Tatuapé,-23.5402,-46.5765,70731,44,8,20,38,39,6,43,14,NORMAL
2019-5-30,Tatuapé,-23.5402,-46.5765,67435,25,35,36,41,21,13,39,43,NORMAL
2018-8-1,Eucaliptos,-23.61,-46.6686,22648,66,39,10,15,37,35,18,19,NORMAL
2018-1-20,República,-23.5436,-46.6434,110566,86,4,8,34,11,31,8,13,REABASTECER
2019-10-16,Barra Funda,-23.5542,-46.6707,149475,39,51,22,20,43,33,27,43,NORMAL
2018-2-14,Tatuapé,-23.5402,-46.5765,69469,8,58,16,16,32,2,31,43,NORMAL
2018-3-28,Tatuapé,-23.5402,-46.5765,67568,86,65,35,31,34,38,22,30,NORMAL
2018-12-9,Tatuapé,-23.5402,-46.5765,70437,73,42,31,33,34,29,30,24,NORMAL
2018-8-4,Tatuapé,-23.5402,-46.5765,67220,86,50,56,37,24,43,41,40,NORMAL
2018-4-28,Eucaliptos,-23.61,-46.6686,22180,75,20,3,19,43,36,43,43,REABASTECER
2018-8-6,Eucaliptos,-23.61,-46.6686,23398,15,4,49,10,21,17,38,3,NORMAL
2019-10-16,Tatuapé,-23.5402,-46.5765,68479,28,42,18,20,19,38,20,26,NORMAL
2018-11-15,Eucaliptos,-23.61,-46.6686,25449,73,30,4,26,4,43,6,16,REABASTECER
2019-12-23,Tatuapé,-23.5402,-46.5765,69062,69,65,23,17,21,6,4,22,REABASTECER
2018-2-20,Moema,-23.5489,-46.6388,20028,45,32,42,31,14,2,9,15,NORMAL
2018-8-25,República,-23.5436,-46.6434,109401,27,57,34,24,4,15,28,28,NORMAL
2018-3-20,Moema,-23.5489,-46.6388,17612,5,60,15,29,25,31,8,24,REABASTECER
2018-9-19,República,-23.5436,-46.6434,109864,56,65,17,32,8,19,26,25,NORMAL
2018-10-10,República,-23.5436,-46.6434,107757,25,65,65,7,6,41,32,35,REABASTECER
2018-8-10,Moema,-23.5489,-46.6388,20501,86,33,41,22,3,21,3,13,NORMAL
2018-8-25,Moema,-23.5489,-46.6388,17548,32,9,6,21,31,19,33,37,REABASTECER
2018-10-26,Moema,-23.5489,-46.6388,19802,29,23,3,33,43,8,5,25,REABASTECER
2019-5-20,República,-23.5436,-46.6434,110219,45,11,38,34,10,22,38,23,NORMAL
2019-5-21,República,-23.5436,-46.6434,107768,35,3,30,28,7,16,32,21,REABASTECER
2018-3-11,Higienópolis-Mackenzie,-23.5488,-46.6519,89921,86,24,37,5,28,17,19,14,NORMAL
2019-9-1,República,-23.5436,-46.6434,108914,62,26,65,43,30,10,12,25,NORMAL
2018-6-26,Higienópolis-Mackenzie,-23.5488,-46.6519,90838,70,22,32,26,11,10,15,14,NORMAL
2018-1-30,Paraíso,-23.57677,-46.63933,72120,63,42,65,16,1,17,25,18,REABASTECER
2018-9-14,Higienópolis-Mackenzie,-23.5488,-46.6519,92531,63,61,34,16,15,20,10,43,NORMAL
2018-4-17,Paraíso,-23.57677,-46.63933,73922,86,14,47,18,29,43,43,6,NORMAL
2018-11-1,Paraíso,-23.57677,-46.63933,71422,54,16,28,4,17,16,8,31,NORMAL
2019-7-22,Paraíso,-23.57677,-46.63933,73117,30,13,65,4,41,19,22,5,NORMAL
2019-9-17,Higienópolis-Mackenzie,-23.5488,-46.6519,91468,33,35,54,37,18,35,43,26,NORMAL
2019-9-27,Higienópolis-Mackenzie,-23.5488,-46.6519,91164,34,38,50,17,24,11,43,32,NORMAL
2019-10-24,Higienópolis-Mackenzie,-23.5488,-46.6519,92304,36,65,60,35,43,24,30,15,NORMAL
2019-11-27,Paraíso,-23.57677,-46.63933,70667,9,48,35,39,30,4,29,2,REABASTECER
2019-12-7,Paraíso,-23.57677,-46.63933,71965,86,51,37,15,32,20,32,15,NORMAL
2018-2-28,Brigadeiro,-23.5683,-46.6482,47789,39,54,65,9,38,30,23,38,NORMAL
2018-4-25,Brigadeiro,-23.5683,-46.6482,49538,8,41,20,9,43,23,11,25,REABASTECER
2018-6-14,Faria Lima,-23.5675,-46.6929,52811,67,46,28,43,11,17,31,37,NORMAL
2018-10-17,Brigadeiro,-23.5683,-46.6482,48144,62,50,22,9,36,25,40,11,NORMAL
2018-10-18,Brigadeiro,-23.5683,-46.6482,48113,55,47,17,5,31,21,36,7,REABASTECER
2019-6-9,Faria Lima,-23.5675,-46.6929,51948,38,49,28,36,43,26,38,6,REABASTECER
2018-5-26,Pinheiros,-23.5664,-46.703,79875,38,36,55,7,5,9,12,38,REABASTECER
2018-6-6,Pinheiros,-23.5664,-46.703,76819,38,36,49,17,12,25,15,41,NORMAL
2018-2-19,Pinheiros,-23.5664,-46.703,77994,32,23,5,25,32,34,14,43,REABASTECER
2018-3-4,Pinheiros,-23.5664,-46.703,76875,55,12,22,12,12,29,35,19,NORMAL
2018-6-29,Pinheiros,-23.5664,-46.703,76863,74,24,21,9,13,6,12,33,REABASTECER
2018-7-22,Pinheiros,-23.5664,-46.703,76436,15,26,15,25,11,25,12,29,NORMAL
2019-2-6,Trianon-Masp,-23.5634,-46.6544,42895,21,58,13,26,37,24,16,18,NORMAL
2019-3-4,Trianon-Masp,-23.5634,-46.6544,42092,79,11,6,25,18,10,37,28,NORMAL
2019-4-14,Trianon-Masp,-23.5634,-46.6544,44378,40,38,18,7,23,18,14,38,NORMAL
2018-1-11,Butantã,-23.5844,-46.7252,65041,67,65,55,19,43,21,43,5,REABASTECER
2018-3-2,Butantã,-23.5844,-46.7252,67489,86,36,45,39,32,33,10,14,NORMAL
2018-9-10,Sé,-23.55,-46.6333,194827,79,38,14,7,17,12,28,15,NORMAL
2018-9-22,Sé,-23.55,-46.6333,192353,51,26,65,40,12,14,23,11,NORMAL
2019-11-10,São Judas,-23.6255,-46.6411,15912,48,42,65,20,24,29,20,18,NORMAL
2019-12-4,Tamanduateí,-23.59290,-46.5897,51099,39,22,37,34,20,33,11,43,NORMAL
2019-12-5,Tamanduateí,-23.59290,-46.5897,50233,30,19,28,31,18,28,7,39,NORMAL
2019-5-10,Sé,-23.55,-46.6333,193368,38,8,46,19,8,36,35,38,REABASTECER
2019-5-22,Sé,-23.55,-46.6333,192465,86,65,31,31,39,33,26,30,NORMAL
2018-6-28,Vila Mariana,-23.5895,-46.6346,23708,39,65,31,22,43,31,43,39,NORMAL
2018-8-14,Sé,-23.55,-46.6333,194377,86,59,19,40,29,39,43,14,NORMAL
2018-9-26,Sé,-23.55,-46.6333,193579,17,65,36,25,37,43,8,40,NORMAL
2018-12-18,Vila Mariana,-23.5895,-46.6346,23640,86,41,42,36,43,24,37,21,NORMAL
2019-5-25,Sé,-23.55,-46.6333,192708,55,47,7,20,26,27,15,20,NORMAL
2019-7-18,Sé,-23.55,-46.6333,193516,49,65,4,27,21,26,11,21,NORMAL
2019-6-16,Vila Mariana,-23.5895,-46.6346,24399,86,7,50,42,17,30,12,17,REABASTECER
2019-7-10,Vila Mariana,-23.5895,-46.6346,22562,32,42,15,28,2,43,1,17,REABASTECER
2019-10-25,Sé,-23.55,-46.6333,191490,46,24,55,33,28,16,41,43,NORMAL
2018-11-29,Brás,-23.5451,-46.6162,71684,52,65,26,39,9,14,43,5,NORMAL
2018-2-22,Brás,-23.5451,-46.6162,73848,86,48,35,18,18,43,43,35,NORMAL
2018-9-24,Brooklin,-23.6263,-46.6878,28347,54,65,25,43,37,38,7,30,NORMAL
2019-12-8,Brás,-23.5451,-46.6162,70750,25,4,48,24,21,26,5,10,NORMAL
2018-1-1,Barra Funda,-23.5542,-46.6707,147341,86,65,65,43,43,43,43,43,NORMAL
2019-3-1,Brooklin,-23.6263,-46.6878,28825,63,29,41,25,40,26,12,24,NORMAL
2019-5-26,Brás,-23.5451,-46.6162,71259,24,50,53,11,16,4,38,43,REABASTECER
2019-6-23,Brás,-23.5451,-46.6162,73770,14,62,58,10,34,17,22,34,NORMAL
2019-6-27,Brooklin,-23.6263,-46.6878,26069,46,55,61,40,32,7,20,13,NORMAL
2018-7-11,Barra Funda,-23.5542,-46.6707,148535,17,41,34,26,3,34,19,6,REABASTECER
2018-8-6,Barra Funda,-23.5542,-46.6707,149329,32,35,65,35,21,43,32,39,NORMAL
2019-11-1,Brooklin,-23.6263,-46.6878,29655,45,61,32,30,43,32,30,29,NORMAL
2019-11-14,Brooklin,-23.6263,-46.6878,29237,86,29,5,39,33,33,30,24,REABASTECER
2019-12-28,Brooklin,-23.6263,-46.6878,29603,86,36,19,35,22,38,9,28,NORMAL
2019-2-12,Barra Funda,-23.5542,-46.6707,149480,65,28,59,27,43,8,9,12,NORMAL
2019-2-26,Barra Funda,-23.5542,-46.6707,150125,8,6,34,28,30,7,29,35,REABASTECER
2018-3-10,Campo Belo,-23.6188,-46.6823,24189,86,7,65,12,33,15,12,39,REABASTECER
2018-7-16,Barra Funda,-23.5542,-46.6707,147604,58,13,65,5,28,22,43,27,REABASTECER
2018-11-11,Barra Funda,-23.5542,-46.6707,147537,86,34,44,16,32,30,41,28,NORMAL
2019-10-5,Barra Funda,-23.5542,-46.6707,149259,65,62,32,14,38,20,29,39,NORMAL
2019-3-12,Barra Funda,-23.5542,-46.6707,150580,40,55,50,26,7,43,4,9,REABASTECER
2019-7-15,Barra Funda,-23.5542,-46.6707,150488,59,19,31,21,33,30,40,29,NORMAL
2019-3-28,Campo Belo,-23.6188,-46.6823,25344,59,37,26,17,9,10,38,32,NORMAL
2018-6-23,Tatuapé,-23.5402,-46.5765,69679,48,60,8,6,29,42,30,6,NORMAL
2019-11-6,Barra Funda,-23.5542,-46.6707,150076,86,10,5,43,43,23,31,7,REABASTECER
2018-8-30,Tatuapé,-23.5402,-46.5765,67573,86,34,7,43,8,3,11,13,NORMAL
2019-10-8,Campo Belo,-23.6188,-46.6823,25973,36,62,36,28,35,8,18,30,NORMAL
2018-1-12,Eucaliptos,-23.61,-46.6686,24191,66,11,60,33,43,43,43,41,NORMAL
2018-7-3,Tatuapé,-23.5402,-46.5765,68140,35,55,65,17,26,20,31,5,NORMAL
2018-1-28,Eucaliptos,-23.61,-46.6686,25515,86,33,17,12,16,41,13,19,NORMAL
2018-1-30,Eucaliptos,-23.61,-46.6686,24038,63,20,6,10,11,41,5,14,NORMAL
2019-4-5,Tatuapé,-23.5402,-46.5765,69947,58,6,47,12,28,5,27,19,REABASTECER
2019-1-29,Eucaliptos,-23.61,-46.6686,22814,38,14,30,43,32,29,15,15,NORMAL
2018-6-24,República,-23.5436,-46.6434,108558,30,40,16,18,38,42,22,39,NORMAL
2018-8-13,República,-23.5436,-46.6434,109034,53,45,56,17,6,9,32,21,NORMAL
2019-12-19,Tatuapé,-23.5402,-46.5765,67732,17,33,46,30,38,20,20,35,NORMAL
2018-1-28,República,-23.5436,-46.6434,107519,18,8,21,8,14,43,21,19,REABASTECER
2018-6-2,Moema,-23.5489,-46.6388,20022,76,22,22,5,29,9,15,39,REABASTECER
2018-6-16,Moema,-23.5489,-46.6388,18664,19,65,55,6,16,18,5,26,NORMAL
2019-11-10,República,-23.5436,-46.6434,109409,8,12,61,43,12,43,43,43,REABASTECER
2019-3-24,República,-23.5436,-46.6434,107110,78,55,39,10,20,12,21,25,NORMAL
2019-6-28,República,-23.5436,-46.6434,110495,86,50,32,43,36,10,16,39,NORMAL
2018-3-24,Higienópolis-Mackenzie,-23.5488,-46.6519,90366,32,6,16,12,11,32,8,3,REABASTECER
2019-1-28,Tamanduateí,-23.59290,-46.5897,51968,38,59,24,37,17,14,16,18,NORMAL
2018-4-22,São Judas,-23.6255,-46.6411,14471,58,65,34,41,26,1,38,43,REABASTECER
2019-3-11,Tamanduateí,-23.59290,-46.5897,50876,36,5,65,28,24,28,18,19,NORMAL
2019-3-19,Tamanduateí,-23.59290,-46.5897,51601,42,26,65,39,41,6,31,31,REABASTECER
2018-7-7,Tamanduateí,-23.59290,-46.5897,52333,42,29,48,20,21,30,31,24,NORMAL
2018-10-25,São Judas,-23.6255,-46.6411,16288,77,37,10,19,43,32,26,36,NORMAL
2018-2-17,Sé,-23.55,-46.6333,191545,62,50,65,20,10,39,43,31,NORMAL
2018-3-21,Sé,-23.55,-46.6333,195061,65,43,55,7,35,23,33,22,NORMAL
2019-6-19,Tamanduateí,-23.59290,-46.5897,50356,5,24,20,40,10,36,10,39,REABASTECER
2019-6-24,Tamanduateí,-23.59290,-46.5897,50807,46,62,48,33,31,19,35,19,NORMAL
2018-5-19,Sé,-23.55,-46.6333,193382,47,41,47,38,25,43,18,13,NORMAL
2018-5-28,Sé,-23.55,-46.6333,193533,33,45,46,21,25,16,29,20,NORMAL
2019-9-22,São Judas,-23.6255,-46.6411,13727,86,18,9,32,43,33,43,6,REABASTECER
2018-10-13,Sé,-23.55,-46.6333,194741,17,35,55,27,13,17,28,18,NORMAL
2019-11-8,São Judas,-23.6255,-46.6411,16163,66,56,10,25,30,37,28,27,NORMAL
2018-11-9,Sé,-23.55,-46.6333,192651,27,31,65,23,3,37,16,43,REABASTECER
2018-12-10,Sé,-23.55,-46.6333,192170,5,51,53,24,24,30,26,21,REABASTECER
2019-1-12,Sé,-23.55,-46.6333,195054,59,46,25,7,26,40,30,15,NORMAL
2018-3-9,Vila Mariana,-23.5895,-46.6346,23065,39,39,48,6,43,43,43,26,NORMAL
2019-2-22,Sé,-23.55,-46.6333,191749,27,17,12,7,35,39,8,23,NORMAL
2018-5-24,Vila Mariana,-23.5895,-46.6346,24190,5,31,60,35,11,10,7,13,REABASTECER
2018-6-30,Vila Mariana,-23.5895,-46.6346,21854,16,56,14,13,32,29,35,30,NORMAL
2019-7-14,Sé,-23.55,-46.6333,194315,86,20,34,39,39,36,32,35,NORMAL
2019-11-11,Sé,-23.55,-46.6333,192971,86,55,7,15,11,43,13,28,REABASTECER
2019-7-9,República,-23.5436,-46.6434,110223,70,45,17,6,35,17,8,33,NORMAL
2018-5-21,Higienópolis-Mackenzie,-23.5488,-46.6519,91559,66,36,15,16,36,43,15,21,NORMAL
2018-2-9,Higienópolis-Mackenzie,-23.5488,-46.6519,90161,48,34,60,11,20,34,13,9,NORMAL
2018-12-15,Higienópolis-Mackenzie,-23.5488,-46.6519,91626,46,5,52,39,19,21,28,43,REABASTECER
2018-4-12,Higienópolis-Mackenzie,-23.5488,-46.6519,92542,25,32,42,8,25,40,8,16,NORMAL
2019-3-14,Higienópolis-Mackenzie,-23.5488,-46.6519,91593,44,14,39,33,23,34,15,34,NORMAL
2018-7-22,Higienópolis-Mackenzie,-23.5488,-46.6519,92205,62,57,61,31,43,19,43,35,NORMAL
2019-5-17,Higienópolis-Mackenzie,-23.5488,-46.6519,91046,15,21,6,14,26,27,32,15,REABASTECER
2019-6-10,Higienópolis-Mackenzie,-23.5488,-46.6519,91782,57,65,34,43,15,17,22,8,NORMAL
2018-12-9,Higienópolis-Mackenzie,-23.5488,-46.6519,93350,16,50,17,15,1,7,10,25,REABASTECER
2019-9-24,Higienópolis-Mackenzie,-23.5488,-46.6519,90014,61,53,8,21,37,17,13,40,REABASTECER
2019-12-23,Paraíso,-23.57677,-46.63933,71088,8,23,49,11,43,14,16,39,NORMAL
2018-3-25,Faria Lima,-23.5675,-46.6929,54356,24,61,11,5,43,8,9,16,REABASTECER
2019-1-2,Faria Lima,-23.5675,-46.6929,52638,67,6,32,18,22,30,36,26,REABASTECER
2019-2-15,Faria Lima,-23.5675,-46.6929,54950,86,10,45,31,18,43,43,22,NORMAL
2018-6-10,Faria Lima,-23.5675,-46.6929,51205,18,1,56,21,23,27,6,11,REABASTECER
2019-2-21,Faria Lima,-23.5675,-46.6929,53151,17,45,65,9,41,27,14,38,NORMAL
2018-9-8,Brigadeiro,-23.5683,-46.6482,47773,14,9,23,25,26,30,31,28,NORMAL
2018-9-8,Faria Lima,-23.5675,-46.6929,54514,39,27,39,19,5,35,28,38,NORMAL
2018-12-26,Brigadeiro,-23.5683,-46.6482,48393,10,31,59,36,23,11,14,7,NORMAL
2019-12-3,Faria Lima,-23.5675,-46.6929,52997,40,53,8,17,12,21,30,26,NORMAL
2019-7-5,Brigadeiro,-23.5683,-46.6482,47845,77,31,40,22,34,24,6,22,NORMAL
2019-10-8,Brigadeiro,-23.5683,-46.6482,46756,24,16,65,22,43,43,20,38,NORMAL
2018-3-1,Pinheiros,-23.5664,-46.703,79498,86,22,45,25,19,34,2,34,REABASTECER
2018-12-3,Pinheiros,-23.5664,-46.703,79598,16,45,26,30,18,39,32,19,NORMAL
2018-3-25,Trianon-Masp,-23.5634,-46.6544,45724,45,37,7,16,20,42,2,34,REABASTECER
2018-5-5,Trianon-Masp,-23.5634,-46.6544,45849,75,13,51,16,31,35,20,43,NORMAL
2018-6-25,Trianon-Masp,-23.5634,-46.6544,42268,23,27,34,29,35,7,8,26,NORMAL
2018-8-15,Pinheiros,-23.5664,-46.703,78952,40,14,57,40,7,31,5,22,REABASTECER
2019-11-3,Pinheiros,-23.5664,-46.703,78634,21,50,32,34,4,26,28,43,REABASTECER
2019-3-19,Trianon-Masp,-23.5634,-46.6544,42342,24,50,41,13,38,16,27,14,NORMAL
2019-4-11,Trianon-Masp,-23.5634,-46.6544,42217,66,54,41,17,38,25,24,3,REABASTECER
2019-12-20,Pinheiros,-23.5664,-46.703,76256,9,27,26,29,13,6,7,19,REABASTECER
2019-12-24,Trianon-Masp,-23.5634,-46.6544,43621,48,56,28,4,29,10,25,18,REABASTECER
2018-1-29,Butantã,-23.5844,-46.7252,66454,58,12,60,41,9,39,25,16,NORMAL
2018-4-10,Consolação,-23.5581,-46.6606,112795,45,33,49,41,31,43,10,8,NORMAL
2018-5-18,Butantã,-23.5844,-46.7252,65969,44,16,1,19,13,30,12,6,REABASTECER
2019-3-7,Butantã,-23.5844,-46.7252,67653,37,65,11,15,6,32,43,15,REABASTECER
2018-7-9,Consolação,-23.5581,-46.6606,112586,28,55,48,40,20,32,10,8,NORMAL
2018-8-22,Consolação,-23.5581,-46.6606,111968,56,33,29,13,39,21,11,3,NORMAL
2018-9-19,Butantã,-23.5844,-46.7252,66976,27,19,58,17,2,29,43,35,REABASTECER
2019-6-13,Butantã,-23.5844,-46.7252,67674,76,52,42,30,12,28,37,14,NORMAL
2019-1-8,Butantã,-23.5844,-46.7252,67993,86,27,11,30,39,33,38,43,NORMAL
2019-3-26,Consolação,-23.5581,-46.6606,112507,57,49,20,32,6,40,39,13,REABASTECER
2018-11-8,Fradique Coutinho,-23.5661,-46.6841,36164,52,26,44,23,37,36,20,25,NORMAL
2018-2-13,Tamanduateí,-23.59290,-46.5897,51845,35,11,49,9,6,27,28,4,REABASTECER
2018-5-24,Tamanduateí,-23.59290,-46.5897,51449,39,25,14,15,21,36,43,30,NORMAL
2019-6-12,Fradique Coutinho,-23.5661,-46.6841,35981,53,65,13,14,14,13,16,27,NORMAL
2019-9-24,Fradique Coutinho,-23.5661,-46.6841,36302,22,20,65,28,40,9,6,39,REABASTECER
2018-6-8,Paraíso,-23.57677,-46.63933,71440,17,15,15,39,39,12,26,4,NORMAL
2019-3-28,Higienópolis-Mackenzie,-23.5488,-46.6519,93324,75,65,15,33,16,37,3,20,REABASTECER
2019-4-29,Higienópolis-Mackenzie,-23.5488,-46.6519,91060,15,57,65,32,20,42,8,5,NORMAL
2019-1-23,Paraíso,-23.57677,-46.63933,71002,30,42,60,5,7,13,23,8,REABASTECER
2019-3-27,Higienópolis-Mackenzie,-23.5488,-46.6519,89938,86,6,25,37,22,37,7,22,REABASTECER
2019-7-3,Higienópolis-Mackenzie,-23.5488,-46.6519,90240,86,58,6,15,2,35,6,6,REABASTECER
2019-11-2,Higienópolis-Mackenzie,-23.5488,-46.6519,92622,45,19,65,4,16,43,39,18,REABASTECER
2018-2-9,Faria Lima,-23.5675,-46.6929,52671,76,45,65,24,4,19,14,26,REABASTECER
2018-5-9,Brigadeiro,-23.5683,-46.6482,48521,42,25,61,14,19,28,39,15,NORMAL
2019-1-29,Faria Lima,-23.5675,-46.6929,54496,68,37,33,9,43,38,15,5,NORMAL
2019-3-3,Faria Lima,-23.5675,-46.6929,54988,73,40,59,7,39,34,11,39,NORMAL
2018-10-15,Brigadeiro,-23.5683,-46.6482,47282,86,63,34,16,40,26,6,20,NORMAL
2019-6-25,Faria Lima,-23.5675,-46.6929,52758,59,33,28,2,23,18,9,22,REABASTECER
2018-10-25,Faria Lima,-23.5675,-46.6929,54674,15,4,34,7,35,16,9,21,REABASTECER
2019-4-2,Faria Lima,-23.5675,-46.6929,54901,60,59,47,32,43,34,29,15,NORMAL
2019-4-5,Brigadeiro,-23.5683,-46.6482,46965,77,51,27,30,20,18,10,8,NORMAL
2019-4-14,Faria Lima,-23.5675,-46.6929,54843,39,48,25,35,38,29,28,15,NORMAL
2019-5-19,Faria Lima,-23.5675,-46.6929,52113,68,23,28,26,27,38,21,38,NORMAL
2018-8-8,Pinheiros,-23.5664,-46.703,78749,20,61,42,18,33,8,31,9,NORMAL
2018-8-14,Pinheiros,-23.5664,-46.703,77233,48,22,65,43,12,33,9,27,NORMAL
2018-3-2,Trianon-Masp,-23.5634,-46.6544,42504,14,11,35,35,23,24,8,14,NORMAL
2018-4-11,Trianon-Masp,-23.5634,-46.6544,44366,52,20,27,2,13,11,28,14,NORMAL
2018-7-23,Pinheiros,-23.5664,-46.703,77709,4,16,11,20,9,25,7,25,REABASTECER
2019-4-7,Pinheiros,-23.5664,-46.703,78577,23,54,29,6,18,11,26,40,REABASTECER
2019-6-27,Pinheiros,-23.5664,-46.703,76129,86,65,51,35,8,14,13,11,NORMAL
2018-11-16,Trianon-Masp,-23.5634,-46.6544,44165,23,3,44,8,21,43,22,26,REABASTECER
2018-12-29,Pinheiros,-23.5664,-46.703,77970,22,27,55,38,39,20,21,30,NORMAL
2019-10-18,Pinheiros,-23.5664,-46.703,79921,76,20,11,31,24,33,43,10,NORMAL
2019-10-28,Pinheiros,-23.5664,-46.703,78322,70,12,6,1,30,37,43,17,REABASTECER
2019-3-11,Pinheiros,-23.5664,-46.703,77228,86,61,29,43,43,12,43,43,NORMAL
2019-3-26,Trianon-Masp,-23.5634,-46.6544,45352,37,13,59,29,9,32,43,23,NORMAL
2019-4-30,Pinheiros,-23.5664,-46.703,78467,44,45,59,25,18,30,29,20,NORMAL
2019-8-13,Pinheiros,-23.5664,-46.703,79746,73,21,59,43,41,11,43,2,REABASTECER
2018-5-15,Butantã,-23.5844,-46.7252,67732,76,33,24,31,23,43,26,18,NORMAL
2018-7-6,Butantã,-23.5844,-46.7252,65351,12,37,5,42,37,43,24,20,REABASTECER
2019-10-28,Trianon-Masp,-23.5634,-46.6544,43235,65,27,20,28,14,13,39,33,NORMAL
2018-1-18,Butantã,-23.5844,-46.7252,65560,74,23,12,37,14,41,21,21,NORMAL
2018-12-26,Butantã,-23.5844,-46.7252,65115,39,18,24,20,4,22,39,2,REABASTECER
2018-8-12,Butantã,-23.5844,-46.7252,65481,29,31,18,39,24,15,30,7,NORMAL
2019-7-24,Butantã,-23.5844,-46.7252,66647,26,65,17,37,14,31,43,26,NORMAL
2019-1-20,Consolação,-23.5581,-46.6606,113783,86,17,21,25,34,39,22,12,NORMAL
2019-3-24,Consolação,-23.5581,-46.6606,115534,74,65,35,38,16,43,43,22,NORMAL
